subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1086M,R1086M,PAL1,,0,0,1,0,0
R1086M,R1086M,PS1,PS,0,1,1,0,0
R1086M,R1086M,PS1,PS,1,5,1,0,0
R1086M,R1086M,PS2,PS,0,2,1,0,0
R1086M,R1086M,PS3,PS,0,3,1,0,0
R1086M,R1086M,YC1,,0,0,0,0,0
R1086M,R1086M,catFR1,,0,0,1,0,0
R1087N,R1087N,PAL1,,0,0,1,0,0
R1087N,R1087N,PAL1,,1,1,1,0,0
R1087N,R1087N,PS1,PS,0,2,1,0,0
R1089P,R1089P,FR1,,0,0,1,0,0
R1089P,R1089P,PAL1,,0,0,1,0,0
R1089P,R1089P,PS2,PS,0,1,1,0,0
R1089P,R1089P,PS2,PS,1,2,1,0,0
R1089P,R1089P,YC1,,0,0,0,0,0
R1089P,R1089P,catFR1,,0,0,1,0,0
R1090C,R1090C,PAL1,,0,0,1,0,0
R1091N,R1091N,PAL1,,0,0,1,0,0
R1091N,R1091N,PAL1,,1,1,1,0,0
R1091N,R1091N,PAL1,,2,2,1,0,0
R1091N,R1091N,PAL1,,3,3,1,0,0
R1091N,R1091N,PAL2,,1,1,1,0,0
R1092J,R1092J_2,FR1,,0,0,1,0,0
R1092J,R1092J_2,FR1,,1,1,1,0,0
R1092J,R1092J_2,FR1,,2,2,1,0,0
R1092J,R1092J_3,FR1,,3,0,1,0,0
R1092J,R1092J,catFR1,,0,0,1,0,0
